timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence
2019-01-26 08:54:37-06:00,41.11810930073261,-73.82469663396478,0.7409600000000001,142.20000000000005,3211,8.424,8424.0,None,80,None
2019-01-26 08:54:38-06:00,41.11808507703245,-73.82470074109733,0.7436699999999999,142.20000000000005,3211,8.568,8568.0,None,80,None
2019-01-26 08:54:39-06:00,41.11806378699839,-73.82470476441085,0.74607,142.20000000000005,3211,8.604000000000001,8604.0,None,80,None
2019-01-26 08:54:40-06:00,41.11804702319205,-73.82470820099115,0.74794,142.39999999999998,3212,8.604000000000001,8604.0,None,80,None
2019-01-26 08:54:50-06:00,41.117806462571025,-73.82470711134374,0.77518,144.60000000000002,3223,8.928,8928.0,None,81,None
2019-01-26 08:55:01-06:00,41.1175643093884,-73.82473083212972,0.80249,146.79999999999995,3234,8.82,8820.0,None,80,None
2019-01-26 08:55:11-06:00,41.117330538108945,-73.82481892593205,0.8298300000000001,146.0,3230,9.144,9144.0,None,80,None
2019-01-26 08:55:21-06:00,41.117094084620476,-73.82492797449231,0.8579,144.39999999999998,3222,9.432,9432.0,None,79,None
2019-01-26 08:55:29-06:00,41.11690456978977,-73.82503107190132,0.88271,144.0,3220,9.792000000000002,9792.0,None,79,None
2019-01-26 08:55:35-06:00,41.11687297001481,-73.825204661116,0.8985299999999999,142.60000000000002,3213,9.756,9756.0,None,79,None
2019-01-26 08:55:36-06:00,41.11684472300112,-73.82522846572101,0.90228,142.39999999999998,3212,9.792000000000002,9792.0,None,79,None
2019-01-26 08:55:37-06:00,41.11681966111064,-73.82524020038545,0.90523,142.0,3210,9.9,9900.0,None,79,None
2019-01-26 08:55:38-06:00,41.1167873069644,-73.82524791173637,0.90889,141.79999999999995,3209,9.936,9936.0,None,79,None
2019-01-26 08:55:39-06:00,41.11676341854036,-73.82525235414505,0.9115599999999999,141.79999999999995,3209,10.044,10044.0,None,79,None
2019-01-26 08:55:40-06:00,41.116740703582764,-73.8252567127347,0.91413,141.79999999999995,3209,10.008,10008.0,None,79,None
2019-01-26 08:55:41-06:00,41.11671170219779,-73.82525973021984,0.91738,141.79999999999995,3209,9.972,9972.0,None,80,None
2019-01-26 08:55:51-06:00,41.11646703444421,-73.82528512738645,0.9449099999999999,141.0,3205,10.044,10044.0,None,80,None
2019-01-26 08:56:01-06:00,41.11624960787594,-73.82536659948528,0.97027,140.0,3200,9.756,9756.0,None,78,None
2019-01-26 08:56:10-06:00,41.116034695878625,-73.82551906630397,0.99761,137.60000000000002,3188,10.008,10008.0,None,80,None
2019-01-26 08:56:19-06:00,41.11581651493907,-73.82564043626189,1.02412,137.0,3185,10.188,10188.0,None,79,None
2019-01-26 08:56:28-06:00,41.115586096420884,-73.8257451262325,1.0513299999999999,137.39999999999998,3187,10.26,10260.0,None,80,None
2019-01-26 08:56:35-06:00,41.11540395766497,-73.82584956474602,1.0735999999999999,137.20000000000005,3186,10.620000000000001,10620.0,None,79,None
2019-01-26 08:56:44-06:00,41.1152105871588,-73.8259766343981,1.09775,134.60000000000002,3173,10.332,10332.0,None,79,None
2019-01-26 08:56:52-06:00,41.11502392217517,-73.826097920537,1.12106,132.60000000000002,3163,10.332,10332.0,None,79,None
2019-01-26 08:56:55-06:00,41.11496290192008,-73.82616371847689,1.1298800000000002,132.39999999999998,3162,10.368,10368.0,None,78,None
2019-01-26 08:56:56-06:00,41.114948904141784,-73.82618861272931,1.13247,132.39999999999998,3162,10.368,10368.0,None,78,None
2019-01-26 08:56:57-06:00,41.11493566073477,-73.82621568627656,1.1351900000000001,132.20000000000005,3161,10.332,10332.0,None,78,None
2019-01-26 08:56:58-06:00,41.114915208891034,-73.82624192163348,1.1383800000000002,132.20000000000005,3161,10.332,10332.0,None,78,None
2019-01-26 08:56:59-06:00,41.114893751218915,-73.82626815699041,1.1416300000000001,132.39999999999998,3162,10.332,10332.0,None,78,None
2019-01-26 08:57:00-06:00,41.1148686055094,-73.82629263214767,1.14509,132.20000000000005,3161,10.368,10368.0,None,79,None
2019-01-26 08:57:01-06:00,41.1148479860276,-73.82631576620042,1.1481199999999998,132.20000000000005,3161,10.44,10440.0,None,79,None
2019-01-26 08:57:02-06:00,41.11482837237418,-73.82633227854967,1.1506800000000001,132.20000000000005,3161,10.476,10476.0,None,79,None
2019-01-26 08:57:03-06:00,41.114812111482024,-73.82635113783181,1.15309,132.20000000000005,3161,10.404,10404.0,None,80,None
2019-01-26 08:57:04-06:00,41.11479350365698,-73.82637150585651,1.1557899999999999,132.20000000000005,3161,10.368,10368.0,None,79,None
2019-01-26 08:57:05-06:00,41.11477380618453,-73.82639246061444,1.1585999999999999,132.39999999999998,3162,10.332,10332.0,None,79,None
2019-01-26 08:57:14-06:00,41.11460633575916,-73.82655532099307,1.18204,132.79999999999995,3164,10.08,10080.0,None,78,None
2019-01-26 08:57:23-06:00,41.11440206877887,-73.82665607146919,1.2065,131.60000000000002,3158,10.008,10008.0,None,79,None
2019-01-26 08:57:33-06:00,41.114198388531804,-73.8266965560615,1.22969,130.39999999999998,3152,9.54,9540.0,None,78,None
2019-01-26 08:57:43-06:00,41.11402245238423,-73.82657929323614,1.25177,130.0,3150,9.107999999999999,9108.0,None,78,None
2019-01-26 08:57:55-06:00,41.113821202889085,-73.82646915502846,1.27614,128.0,3140,8.424,8424.0,None,78,None
2019-01-26 08:58:06-06:00,41.113597908988595,-73.82641115225852,1.30167,124.60000000000002,3123,8.424,8424.0,None,80,None
2019-01-26 08:58:09-06:00,41.11353504471481,-73.82636731490493,1.3096199999999998,123.79999999999995,3119,8.424,8424.0,None,80,None
2019-01-26 08:58:10-06:00,41.11351224593818,-73.82635130546987,1.3125,123.60000000000002,3118,8.496,8496.0,None,80,None
2019-01-26 08:58:11-06:00,41.11348953098059,-73.82633714005351,1.31529,123.39999999999998,3117,8.568,8568.0,None,80,None
2019-01-26 08:58:12-06:00,41.11346757039428,-73.82631819695234,1.31821,123.20000000000005,3116,8.604000000000001,8604.0,None,78,None
2019-01-26 08:58:13-06:00,41.1134438496083,-73.8263051211834,1.32106,123.0,3115,8.676,8676.0,None,78,None
